<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
1.0,115605504.0,37.0,0.0,49.0,4247500800.0,25.0,3840000.0,1484783616.0,1.0,224.0,0.008030715212225916,4366946304.0,1484783616.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,231211008.0,37.0,0.0,49.0,8495001600.0,25.0,7680000.0,1675624448.0,2.0,224.0,0.008702789247035981,8733892608.0,1675624448.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,462422016.0,37.0,0.0,49.0,16990003200.0,25.0,15360000.0,1843396608.0,4.0,224.0,0.008684779331088067,17467785216.0,1843396608.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,924844032.0,37.0,0.0,49.0,33980006400.0,25.0,30720000.0,1885339648.0,8.0,224.0,0.008561254665255546,34935570432.0,1885339648.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,1849688064.0,37.0,0.0,49.0,67960012800.0,25.0,61440000.0,1912602624.0,16.0,224.0,0.008730380609631539,69871140864.0,1912602624.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,3699376128.0,37.0,0.0,49.0,135920025600.0,25.0,122880000.0,2092957696.0,32.0,224.0,0.011845675110816956,139742281728.0,2092957696.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,7398752256.0,37.0,0.0,49.0,271840051200.0,25.0,245760000.0,2174746624.0,64.0,224.0,0.02241041474044323,279484563456.0,2174746624.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,11098128384.0,37.0,0.0,49.0,407760076800.0,25.0,368640000.0,2285895680.0,96.0,224.0,0.032249773293733595,419226845184.0,2285895680.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,14797504512.0,37.0,0.0,49.0,543680102400.0,25.0,491520000.0,2424307712.0,128.0,224.0,0.041799291595816614,558969126912.0,2424307712.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,22196256768.0,37.0,0.0,49.0,815520153600.0,25.0,737280000.0,2619342848.0,192.0,224.0,0.06067613363265991,838453690368.0,2619342848.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,29595009024.0,37.0,0.0,49.0,1087360204800.0,25.0,983040000.0,2871001088.0,256.0,224.0,0.08338870517909527,1117938253824.0,2871001088.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,44392513536.0,37.0,0.0,49.0,1631040307200.0,25.0,1474560000.0,3233808384.0,384.0,224.0,0.1233033049851656,1676907380736.0,3233808384.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,59190018048.0,37.0,0.0,49.0,2174720409600.0,25.0,1966080000.0,3709861888.0,512.0,224.0,0.1636770896613598,2235876507648.0,3709861888.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
245.0,5360927200.0,,,,,,,1317011456.0,1.0,224.0,0.04461843520402908,5439190496.0,1317011456.0,efficientnet,403.0,54139356.0,0.0,157.0,78199296.0,1.0,64000.0,,,,,,,,,,,,
245.0,10721854400.0,,,,,,,1440743424.0,2.0,224.0,0.04544785134494304,10878380992.0,1440743424.0,efficientnet,403.0,54139356.0,0.0,157.0,156398592.0,1.0,128000.0,,,,,,,,,,,,
245.0,21443708800.0,,,,,,,1440743424.0,4.0,224.0,0.045836990326642985,21756761984.0,1440743424.0,efficientnet,403.0,54139356.0,0.0,157.0,312797184.0,1.0,256000.0,,,,,,,,,,,,
245.0,42887417600.0,,,,,,,1440743424.0,8.0,224.0,0.050853514671325685,43513523968.0,1440743424.0,efficientnet,403.0,54139356.0,0.0,157.0,625594368.0,1.0,512000.0,,,,,,,,,,,,
245.0,85774835200.0,,,,,,,1568669696.0,16.0,224.0,0.04821706004440785,87027047936.0,1568669696.0,efficientnet,403.0,54139356.0,0.0,157.0,1251188736.0,1.0,1024000.0,,,,,,,,,,,,
245.0,171549670400.0,,,,,,,1658847232.0,32.0,224.0,0.04868217259645462,174054095872.0,1658847232.0,efficientnet,403.0,54139356.0,0.0,157.0,2502377472.0,1.0,2048000.0,,,,,,,,,,,,
245.0,343099340800.0,,,,,,,1916796928.0,64.0,224.0,0.0726778820157051,348108191744.0,1916796928.0,efficientnet,403.0,54139356.0,0.0,157.0,5004754944.0,1.0,4096000.0,,,,,,,,,,,,
245.0,514649011200.0,,,,,,,2336227328.0,96.0,224.0,0.10640279687941076,522162287616.0,2336227328.0,efficientnet,403.0,54139356.0,0.0,157.0,7507132416.0,1.0,6144000.0,,,,,,,,,,,,
245.0,686198681600.0,,,,,,,2724200448.0,128.0,224.0,0.13904577866196632,696216383488.0,2724200448.0,efficientnet,403.0,54139356.0,0.0,157.0,10009509888.0,1.0,8192000.0,,,,,,,,,,,,
