<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,avg_memory,batch_size,input_size,latency,macs,max_macs,max_macs_macs,max_memory,max_params,max_params_macs,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
1.0,115605504.0,37.0,0.0,49.0,4247500800.0,25.0,3840000.0,2080374784.0,1.0,224.0,0.008391016300083721,4366946304.0,117964800.0,117964800.0,2080374784.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,231211008.0,37.0,0.0,49.0,8495001600.0,25.0,7680000.0,2478833664.0,2.0,224.0,0.00898044839996146,8733892608.0,235929600.0,235929600.0,2478833664.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,462422016.0,37.0,0.0,49.0,16990003200.0,25.0,15360000.0,2879389696.0,4.0,224.0,0.008964434400149912,17467785216.0,471859200.0,471859200.0,2879389696.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,693633024.0,37.0,0.0,49.0,25485004800.0,25.0,23040000.0,2879389696.0,6.0,224.0,0.008967838400167237,26201677824.0,707788800.0,707788800.0,2879389696.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,924844032.0,37.0,0.0,49.0,33980006400.0,25.0,30720000.0,2879389696.0,8.0,224.0,0.008951756399983423,34935570432.0,943718400.0,943718400.0,2879389696.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,1387266048.0,37.0,0.0,49.0,50970009600.0,25.0,46080000.0,3277848576.0,12.0,224.0,0.009086045199910586,52403355648.0,1415577600.0,1415577600.0,3277848576.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,1849688064.0,37.0,0.0,49.0,67960012800.0,25.0,61440000.0,3277848576.0,16.0,224.0,0.010490402899995388,69871140864.0,1887436800.0,1887436800.0,3277848576.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,2312110080.0,37.0,0.0,49.0,84950016000.0,25.0,76800000.0,3277848576.0,20.0,224.0,0.0127008012999795,87338926080.0,2359296000.0,2359296000.0,3277848576.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,2774532096.0,37.0,0.0,49.0,101940019200.0,25.0,92160000.0,3344957440.0,24.0,224.0,0.015282500099965544,104806711296.0,2831155200.0,2831155200.0,3344957440.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,3236954112.0,37.0,0.0,49.0,118930022400.0,25.0,107520000.0,3344957440.0,28.0,224.0,0.017153016999873216,122274496512.0,3303014400.0,3303014400.0,3344957440.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,3699376128.0,37.0,0.0,49.0,135920025600.0,25.0,122880000.0,3344957440.0,32.0,224.0,0.019379009400108768,139742281728.0,3774873600.0,3774873600.0,3344957440.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,4624220160.0,37.0,0.0,49.0,169900032000.0,25.0,153600000.0,3420454912.0,40.0,224.0,0.0252413838999928,174677852160.0,4718592000.0,4718592000.0,3420454912.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,5549064192.0,37.0,0.0,49.0,203880038400.0,25.0,184320000.0,3512729600.0,48.0,224.0,0.02929667529988365,209613422592.0,5662310400.0,5662310400.0,3512729600.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,6473908224.0,37.0,0.0,49.0,237860044800.0,25.0,215040000.0,3619684352.0,56.0,224.0,0.033812134899926606,244548993024.0,6606028800.0,6606028800.0,3619684352.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,7398752256.0,37.0,0.0,49.0,271840051200.0,25.0,245760000.0,3739222016.0,64.0,224.0,0.03790601729997434,279484563456.0,7549747200.0,7549747200.0,3739222016.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,11098128384.0,37.0,0.0,49.0,407760076800.0,25.0,368640000.0,3965714432.0,96.0,224.0,0.05469642490006663,419226845184.0,11324620800.0,11324620800.0,3965714432.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,14797504512.0,37.0,0.0,49.0,543680102400.0,25.0,491520000.0,4202692608.0,128.0,224.0,0.07247482799994033,558969126912.0,15099494400.0,15099494400.0,4202692608.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
245.0,5360927200.0,,,,,,,1914699776.0,1.0,224.0,0.03872098889987683,5439190496.0,260112384.0,260112384.0,1914699776.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,78199296.0,1.0,64000.0,,,,,,,,,,,,
